
S,P,O,text
独龙族,歌曲,《满天的星》,
独龙族,歌曲,《丁格·白丽》,
独龙族,乐器,口弦,独龙族有自己的传统乐器和音乐，主要乐器有口弦、铓锣、铃铛、叶笛
独龙族,乐器,铓锣,
独龙族,乐器,铃铛,
独龙族,乐器,叶笛,
口弦,制作材料,竹片,口弦。独龙语把弦称作“阿康”，是独龙江地区流传为普遍的乐器。它用竹片制作而成，一般为两片，用时把口弦的弹舌对准口，用嘴里吹出的气来控制口弦声音的高低。口弦声音婉转，但传得不远
铃铛,使用场景,祭鬼,铃铛。独龙族在祭神时用铃铛来摇，其声音在较远的地方就能听见。他们认为，用铃铛来祭鬼，效果较好，所以每个巫师必备一个铃铛，以备祭鬼时用
叶笛,制作材料,树叶,叶笛。独龙族人民很爱吹树叶，在田边地角，森林里，或劳动后的小憩时，都喜欢随手摘下树叶就吹
独龙族,舞蹈,剽牛舞,独龙族有自己的舞蹈，一般在过年、剽牛祭天、结婚、打猎获得猎物时跳，大都为集体舞，没有单人舞和双人舞。剽牛舞、节日舞、婚娶舞、跳舞时，一般用芒锣伴奏，所有的男女老少围成一圈，边唱边跳，非常精彩。
独龙族,服饰,独龙毯,
独龙毯,制作方式,手工编织,独龙族服饰独龙毯由独龙族妇女手工编织而成，它的原材料是山上野生的和自己种植的麻，将麻搓成线后，用多种植物的液体染成各种各样的颜色，独龙毯质地结实耐用，可防雨，也可用来做垫盖被褥一类。
独龙毯,原材料,麻,
独龙族,饮食,琵琶肉,
独龙族,饮食,肉酒,
独龙族,饮食,石板粑粑,石板粑粑是贡山县独龙族、怒族的古老食品。古就古在石板当锅，摊入面浆烙制而成。成品香甜适口，风味独具，营养丰富，这种石板是在贡山县丙中洛乡青拉筒附近出的一种石板，火烧不坏，水浇不裂。把它当作锅，放在火塘三脚架上烙粑粑吃，不用放油，粑粑也不会粘在石锅上，烙出来的粑粑特别泡，味道也特别香。
独龙族,饮食,蜂蛹,蜂蛹是独龙族民间最讲究的菜肴之一，有说独龙族百岁老人较多，与常食蜂蛹有关。蜂蛹既可作为食品，又可作为营养保健品，被誉为“天上人参”。
独龙族,饮食,竹筒酒,独龙族人酿酒不用土坛而用竹筒。酿制时他们选用最好的竹中，将竹子做成酒筒，然后将煮熟的大米、小麦或高粱拌上药酒装进竹筒。7天后，将竹筒盖打开，即可喝到醇香的竹筒酒了。
独龙族,主食,玉米,独龙族的主食多以玉米、小米、稗、荞、青稞、马铃薯、芋头和黄豆为主
独龙族,主食,小米,
独龙族,主食,稗,
独龙族,主食,荞,
独龙族,主食,青稞,
独龙族,主食,马铃薯,
独龙族,主食,芋头,
独龙族,主食,黄豆,
独龙族,饮食习惯,日食两餐,独龙族有日食两餐的习惯。
独龙族,男子饰品,腰刀,独龙族男女均喜爱装饰品，男子外出时要佩上腰刀、弩弓，女子常常披挂五颜六色的串珠、胸链、耳环，甚至铜钱和银币也常挂在颈上和耳下。同时妇女出门要身背精致的篾箩，既美观又实用，为独龙女子装饰自己的组成部分。
独龙族,男子饰品,弩弓,
独龙族,女子饰品,串珠,
独龙族,女子饰品,胸链,
独龙族,女子饰品,耳环,
独龙族,女子饰品,铜钱,
独龙族,女子饰品,银币,
独龙族,史称,“俅人”,独龙族史称俅子或俅人
独龙族,史称,“俅子”,
独龙族,成立时间,1952年,
独龙族,交通工具,藤篾桥,
藤篾桥,建筑材料,藤条,
独龙族,交通工具,溜索,
溜索,建筑材料,细麻线,
溜索,架设,平溜,
溜索,架设,陡溜,
独龙族,习俗,文面,
文面,对象,女性,
文面,由来,独龙族女子成年礼,
文面,由来,辟邪消灾,
文面,由来,躲避外族人掳掠妇女,
独龙族,特征,文面,
独龙族,特征,卡雀哇,
独龙族,特征,剽牛,
独龙族,特征,刻木结绳,
独龙族,特征,独龙毯,
独龙族,特征,绑腿,
独龙族,特征,竹篾房,
独龙族,特征,木楞房,
独龙族,特征,藤篾桥,
独龙族,特征,溜索,
独龙族,特征,独龙牛,
独龙牛,被列入,国家畜禽品种资源保护名录,
独龙牛,特点,四肢下段为白色,大额牛体毛呈黑或深褐色，四肢下段为白色。体躯高大，
独龙牛,曾用名,大额牛,"独龙牛，曾用名大额牛, 2006年列入国家畜禽品种资源保护名录, 是世界范围现存牛属动物的七个种之一，"
独龙族,特征,铓锣,
独龙族,特征,剽牛舞,
独龙族,特征,篾箩,
独龙族,特征,弩弓,
独龙族,特征,火塘,
独龙族,特征,捕鱼,
独龙族,农业方式,刀耕火种,新中国成立以前，独龙族社会虽无自己的冶铁业，但因长期以来同周围藏、纳西、白和汉族建立了紧密的政治、经济关系，输入了铁刀和铁斧，出现了刀耕火种农业，并将原始的木锄包上铁皮，改造成为小铁锄，用来挖掘耕地。20世纪40年代末，个别家庭还从怒江换进少量大型板锄，使刀耕火种农业开始同锄耕过渡。
刀耕火种,工具,小铁锄,
刀耕火种,时间,新中国成立以前,
独龙族,农业方式,锄耕,
锄耕,时间,20世纪40年代末,
锄耕,工具,大型板锄,
独龙族,生产方式,采集,除经营刀耕火种农业外，独龙族又是山区的采集者、渔人和猎人。采集、捕鱼、狩猎这三项传统的生产项目一直在独龙族生活中起着重要的作用。
独龙族,生产方式,捕鱼,
独龙族,生产方式,家庭手工业,
独龙族,生产方式,狩猎,
采集,时间,3月至8月,采集：独龙族总是每年3月至8月这段春耕到秋收的时期采集野粮生活，9月起开始吃小米、秋荞等陆续成熟的农作物，12月以后便开始了捕鱼和集体围猎的生活。
狩猎,方式,集体狩猎,狩猎：冬季农闲时节，山林里毒蛇的侵害较少，独龙族以家庭或自然村为单位，进行集体围猎。每年家族都有自己的猎场，界限十分严格
狩猎,时间,冬季,
捕鱼,方式,以家族为单位,捕鱼：独龙族以家族为单位捕鱼。捕鱼是独龙人的重要生产工作之一，。每个家族都有自己的若干个“度娃”——鱼口子，各家族只能在自己所辖的“度娃”里捕鱼，每年5月初汛时期，鱼口子里便集中了大批鱼群，这是捕鱼的最好时期。捕获的鱼除捕鱼人留一份外，其余的必须由家族成员共同分食。
捕鱼,时间,5月,
家庭手工业,方式,藤、竹编织,独龙族的手工业还没有从农业中明显分离出来，往往同农业生产、采集和狩猎活动紧密地结合在一起，主要有藤、竹编织以及纺织麻布，纺织麻布工具简单，技术落后，从剥麻、搓线、洗染、织布全是手工操作，工效很低。
家庭手工业,方式,纺织麻布,
独龙族,人物,高德荣,
高德荣,是,十届全国人大二次会议代表,
独龙族,是,最后一个无现代通讯少数民族,
